dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,method_arm
atrialfibrillation,3,success,lraes,resnet1d,act,0.1666666666666666,0.2407407407407407,0.074074074074074,44.444417777793774,30,15,0.5555555555555555,1.0,0.0001283269427228,0.0323714502991497,1.085001465550199,0.13213718098265,0.9999999999899996,0.8437962467856867,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,group_top_k1
ering,1,success,lraes,resnet1d,act,0.5424850558740912,0.8109844606397828,0.2684994047656915,49.49433212288841,24,27,0.7777777777777777,0.7777777777777777,0.0001811676953805,0.0013158826466421,1.095894017936663,0.1418898661371319,0.9999999999899996,1.0850636769840405,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,group_top_k1
ering,2,success,lraes,resnet1d,act,0.848105426301868,0.8217721637675647,-0.0263332625343033,-3.1049511785554023,30,23,0.7777777777777778,1.0,0.0001810726852197,0.0013017196862417,1.1010637391973164,0.1474254272083109,0.9999999999899996,1.048420083095513,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,group_top_k1
ering,3,success,lraes,resnet1d,act,0.8501737413578302,0.8294857395306137,-0.0206880018272165,-2.433384893867741,30,16,0.7777777777777778,1.0,0.0001809923559257,0.0013493907447646,1.0998984879334466,0.1449015210675546,0.9999999999899996,1.0999095086492523,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,group_top_k1
handmovementdirection,1,success,lraes,resnet1d,act,0.2384428967090257,0.2793154761904762,0.0408725794814504,17.14144682191176,21,19,0.5395413410119293,0.4028186274509804,0.0002851222246931,1.1122060466075897e-07,1.079300473732567,0.14036964776001,0.9999999999899998,0.9899009169526736,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,group_top_k3
handmovementdirection,2,success,lraes,resnet1d,act,0.2030680813439434,0.2284193576763236,0.0253512763323802,12.484120439056824,17,15,0.3214285714285714,0.4090686274509804,0.0002852636834363,1.1119891771743081e-07,1.0796494847531597,0.1417580895092377,0.9999999999899998,0.987985101412486,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,group_top_k3
handmovementdirection,3,success,lraes,resnet1d,act,0.1875628456510809,0.2649429002370179,0.0773800545859369,41.255512551975634,15,11,0.3456896551724138,0.2773809523809524,0.0002854170575133,1.1148562691055897e-07,1.0803321318763857,0.1431220845666609,0.9999999999899998,1.0034452843727362,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,group_top_k3
handwriting,1,success,lraes,resnet1d,act,0.382737297846506,0.4401923147422145,0.0574550168957084,15.011602529301404,30,15,0.3055555555555555,0.3939999999999999,0.0001567608329665,0.0003233305413696,1.077633946368884,0.1141169187830585,0.8510652875398357,0.2429830989517447,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,group_top_k3
handwriting,2,success,lraes,resnet1d,act,0.4136709560472157,0.460525171708747,0.0468542156615313,11.3264428285704,30,30,0.3402777777777777,0.4916666666666667,0.0001568406654002,0.0003196927487002,1.0815992875801574,0.1189416194849422,0.874859526898969,0.2591882417685239,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,group_top_k3
handwriting,3,success,lraes,resnet1d,act,0.4038917991696072,0.4296427505196423,0.0257509513500351,6.375703846246612,30,30,0.3305555555555555,0.4152777777777777,0.000157057470501,0.0003248900942103,1.0828839959675134,0.1194243816256125,0.8676174648262228,0.2621793509247431,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,group_top_k3
