dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
heartbeat,3,random_cov_state,success,,0.6607338017174083,0.681896551724138,0.0211627500067297,1630,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,25.851779577089477,9.5235753823098,,
heartbeat,3,pca_cov_state,success,,0.6607338017174083,0.6762914504849988,0.0155576487675905,1630,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,25.39351422293112,9.523510556968674,10.0,0.9261988401412964
atrialfibrillation,1,random_cov_state,success,,0.1142857142857142,0.1555555555555555,0.0412698412698412,120,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,1.4323257200885564,0.027045971519681,,
atrialfibrillation,1,pca_cov_state,success,,0.1142857142857142,0.0833333333333333,-0.0309523809523809,120,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,1.3294048130046576,0.0270649199442162,3.0,0.9999999403953552
atrialfibrillation,2,random_cov_state,success,,0.1574074074074074,0.1082251082251082,-0.0491822991822991,120,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,1.045001617865637,0.0331437013935428,,
atrialfibrillation,2,pca_cov_state,success,,0.1574074074074074,0.1111111111111111,-0.0462962962962962,120,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,1.4269892489537597,0.0331553035497111,3.0,1.0
atrialfibrillation,3,random_cov_state,success,,0.0784313725490196,0.0784313725490196,0.0,120,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,1.470192322973162,0.0323938293342756,,
atrialfibrillation,3,pca_cov_state,success,,0.0784313725490196,0.1574074074074074,0.0789760348583878,120,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,1.3881709990091622,0.0323790748027359,3.0,0.9999999403953552
handmovementdirection,1,random_cov_state,success,,0.3395488721804511,0.361552646914489,0.0220037747340379,1280,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,26.905312933959067,1.1122564932851677e-07,,
handmovementdirection,1,pca_cov_state,success,,0.3395488721804511,0.3899924380752135,0.0504435658947624,1280,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,25.999252211069688,1.1122576163040905e-07,10.0,0.614203155040741
handmovementdirection,2,random_cov_state,success,,0.3046236559139784,0.3920954907161804,0.0874718348022019,1280,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,18.66928558796644,1.1118641264596458e-07,,
handmovementdirection,2,pca_cov_state,success,,0.3046236559139784,0.3676481240040561,0.0630244680900777,1280,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,12.589095350820571,1.1119543866528438e-07,10.0,0.6061246395111084
handmovementdirection,3,random_cov_state,success,,0.316387599469496,0.3258265947888589,0.0094389953193629,1280,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,15.207079889019951,1.1147033529183393e-07,,
handmovementdirection,3,pca_cov_state,success,,0.316387599469496,0.3817202509856183,0.0653326515161222,1280,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,14.722620078129694,1.114869669192624e-07,10.0,0.6058002710342407
