dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,jobda_num_transforms,jobda_transform_subseqs,jobda_cleanroom,jobda_official_code_confirmed,guided_warp_mode,guided_warp_slope_constraint,guided_warp_use_window,guided_warp_dtw_value_mean,guided_warp_amount_mean,guided_warp_cleanroom_adapter,guided_warp_batch_size,guided_warp_positive_batch,guided_warp_negative_batch,guided_warp_use_variable_slice,guided_warp_score_mean
natops,1,dgw_sameclass,success,,0.9373000436629222,0.9611609105673549,0.023860866904432676,1440,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.972027972027972,25,0,0,21.036345144035295,,,,,dgw,symmetric,1.0,95.46677185828808,77.35205555555557,1.0,6.0,3.0,3.0,1.0,74.72645678730278
natops,2,jobda_cleanroom,success,,0.9070392331641024,0.9296394686907021,0.022600235526599732,432,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,1.0,20,0,0,0.9566657629911788,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
natops,2,rgw_sameclass,success,,0.9070392331641024,0.9481366052710393,0.04109737210693687,1440,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,1.0,30,0,0,4.582665846042801,,,,,rgw,symmetric,1.0,91.38987294651858,78.50666666666667,1.0,,,,,
natops,2,dgw_sameclass,success,,0.9070392331641024,0.9718951883498628,0.06485595518576037,1440,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,1.0,30,0,0,21.957308177021332,,,,,dgw,symmetric,1.0,96.00259738041952,76.21409722222224,1.0,6.0,3.0,3.0,1.0,73.48238866609952
natops,3,jobda_cleanroom,success,,0.9205883200225039,0.9495434755184231,0.028955155495919205,432,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.972027972027972,30,0,0,1.5005987149779685,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
natops,3,rgw_sameclass,success,,0.9205883200225039,0.9609437944137317,0.040355474391227775,1440,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.972027972027972,30,0,0,4.855657331994735,,,,,rgw,symmetric,1.0,91.64279467565441,80.99908333333335,1.0,,,,,
natops,3,dgw_sameclass,success,,0.9205883200225039,0.9607141410722603,0.04012582104975637,1440,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.972027972027972,30,0,0,21.645089900004677,,,,,dgw,symmetric,1.0,95.50748573225849,78.387125,1.0,6.0,3.0,3.0,1.0,72.88261547955692
racketsports,1,jobda_cleanroom,success,,0.8656212251404092,0.8665672624451808,0.0009460373047716075,360,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.9409722222222222,28,0,0,1.1940836760331877,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
racketsports,1,rgw_sameclass,success,,0.8656212251404092,0.9094281972937581,0.043806972153348944,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.9705882352941176,30,0,0,3.49097108800197,,,,,rgw,symmetric,1.0,391.1525998514855,21.171609195402294,1.0,,,,,
racketsports,1,dgw_sameclass,success,,0.8656212251404092,0.9034883720930232,0.03786714695261406,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.9705882352941176,30,0,0,9.559378938982263,,,,,dgw,symmetric,1.0,407.29428848393775,21.447931034482757,1.0,6.0,3.0,3.0,1.0,88.49446065284971
racketsports,2,jobda_cleanroom,success,,0.8588293650793651,0.8731994762112615,0.014370111131896346,360,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,1.0,17,0,0,0.7477628540364094,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
racketsports,2,rgw_sameclass,success,,0.8588293650793651,0.8675389349801427,0.008709569900777536,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,1.0,30,0,0,3.300400952983182,,,,,rgw,symmetric,1.0,397.47888392687184,21.982701149425285,1.0,,,,,
racketsports,2,dgw_sameclass,success,,0.8588293650793651,0.8550348202522116,-0.0037945448271535787,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.9705882352941176,14,0,0,7.947307983005885,,,,,dgw,symmetric,1.0,413.11310793579645,21.82465517241379,1.0,6.0,3.0,3.0,1.0,87.2899062631384
racketsports,3,jobda_cleanroom,success,,0.8843719087962982,0.8910738515216128,0.006701942725314547,360,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.9392857142857143,30,0,0,1.3058328939951025,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
racketsports,3,rgw_sameclass,success,,0.8843719087962982,0.9146393199041443,0.03026741110784603,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.9409722222222222,30,0,0,3.470068662019912,,,,,rgw,symmetric,1.0,400.83559306694195,21.871954022988504,1.0,,,,,
racketsports,3,dgw_sameclass,success,,0.8843719087962982,0.7464914731157049,-0.13788043568059338,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.9117647058823529,12,0,0,7.754016746999696,,,,,dgw,symmetric,1.0,410.54324976018665,21.86566091954023,1.0,6.0,3.0,3.0,1.0,90.27727072094717
