anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight,osf_direction_id_lraes,osf_direction_id_zpia,osf_sign_lraes,osf_sign_zpia,osf_gamma_used_lraes,osf_gamma_used_zpia,osf_r_shared,osf_alpha_eff,osf_structure_norm_raw,osf_structure_norm_eff,osf_risk_norm_restored,osf_risk_budget,osf_risk_scale,osf_final_norm,osf_structure_overflow,osf_risk_status
5,ering_train_3,2,0,6,1.0,0.1,0.1,1.0,0.469939341756707,0.3009355036095942,0.9398786835143539,adaptive,osf_fused,orthogonal_fusion,0.00018368754898776424,0.0008611162553361325,1.1479863686226992,0.20068702775765193,-0.0479925163090229,0.4880041733149565,6,6,1.0,1.0,0.1,0.1,0.46993934175717694,1.0,0.09999999495559138,0.09999999495559138,0.09999999123747012,0.4591764213677031,1.0,0.1414214324779582,False,restored
5,ering_train_3,2,1,8,1.0,0.1,0.1,1.0,0.469939341756707,0.3009353670549551,0.9398786835143539,adaptive,osf_fused,orthogonal_fusion,0.00017821624855002098,0.0008403489595746234,1.149451097612458,0.20068449808150085,-0.04845510423183441,0.48788859354401753,8,8,1.0,1.0,0.1,0.1,0.46993934175717694,1.0,0.10000001456209946,0.10000001456209946,0.0999999913521637,0.45917641709777374,1.0,0.14142136830556096,False,restored
0,ering_train_4,3,0,9,1.0,0.1,0.1,1.0,0.4026921904397474,0.3511896939101532,0.8053843808803003,adaptive,osf_fused,orthogonal_fusion,0.00017871076446996352,0.0004879749205135305,1.1207361386357793,0.1764705251800437,-0.12110009789466858,0.4697619205390111,9,9,1.0,1.0,0.1,0.1,0.40269219044015014,1.0,0.10000000466173455,0.10000000466173455,0.09999999655102904,0.3900781964031561,1.0,0.14142134710103663,False,restored
0,ering_train_4,3,1,5,1.0,0.1,0.1,1.0,0.4026921904397474,0.35118981890270845,0.8053843808803003,adaptive,osf_fused,orthogonal_fusion,0.00018683525853148625,0.0004942996425656748,1.1321114722951295,0.20727369355343167,-0.11973167210817337,0.4701027898287085,5,5,1.0,1.0,0.1,0.1,0.40269219044015014,1.0,0.10000002686653069,0.10000002686653069,0.10000000043409936,0.39007819071075905,1.0,0.1414213974345625,False,restored
16,ering_train_7,3,0,6,1.0,0.1,0.1,1.0,0.587218363159352,0.24083281811475044,1.1744367263198787,adaptive,osf_fused,orthogonal_fusion,0.00018346481319531113,0.0011573101283479323,1.1403798363301192,0.19090032863454814,-0.0923318862915039,0.4769334133274782,6,6,1.0,1.0,0.1,0.1,0.5872183631599394,1.0,0.10000000597334181,0.10000000597334181,0.1000000095940083,0.5786409982342852,1.0,0.14142145324877997,False,restored
16,ering_train_7,3,1,5,1.0,0.1,0.1,1.0,0.587218363159352,0.2408326880594601,1.1744367263198787,adaptive,osf_fused,orthogonal_fusion,0.00018723284171139634,0.001162392943255218,1.1413758500793572,0.2237215145744564,-0.08764948695898056,0.4781016458512846,5,5,1.0,1.0,0.1,0.1,0.5872183631599394,1.0,0.10000000499424178,0.10000000499424178,0.09999999323494344,0.578640998403492,1.0,0.14142137687792525,False,restored
12,ering_train_8,2,0,1,-1.0,0.1,0.1,1.0,0.43707142960698203,0.3235657601714695,0.8741428592148383,adaptive,osf_fused,orthogonal_fusion,0.0001864013366340921,0.0008079717828181014,1.1268191943793702,0.18972151706314816,-0.04273153468966484,0.4893187415954188,1,1,-1.0,-1.0,0.1,0.1,0.4370714296074191,1.0,0.10000000370575395,0.10000000370575395,0.09999999162187981,0.4254778887767522,1.0,0.14142134937047904,False,restored
12,ering_train_8,2,1,9,1.0,0.1,0.1,1.0,0.43707142960698203,0.3235657273835993,0.8741428592148383,adaptive,osf_fused,orthogonal_fusion,0.00017912435907340593,0.0007981650957359285,1.1351708955362425,0.19477237815034984,-0.04501514509320259,0.48874811369664345,9,9,1.0,1.0,0.1,0.1,0.4370714296074191,1.0,0.10000000115941342,0.10000000115941342,0.099999982996245,0.42547788937521824,1.0,0.14142133503983775,False,restored
11,ering_train_9,3,0,6,-1.0,0.1,0.1,1.0,0.7071102227454092,0.19999913682323672,1.414220445492233,adaptive,osf_fused,orthogonal_fusion,0.00018096802121945013,0.001000884914032049,1.1442889042813023,0.1923852392103812,-0.10421813279390335,0.4739690236497087,6,6,-1.0,-1.0,0.1,0.1,0.7071102227461165,1.0,0.10000001956580415,0.10000001956580415,0.09999996904605633,0.7000034737048818,1.0,0.14142143418830994,False,restored
11,ering_train_9,3,1,2,-1.0,0.1,0.1,1.0,0.7071102227454092,0.19999903151071435,1.414220445492233,adaptive,osf_fused,orthogonal_fusion,0.00018108581142278456,0.0010158779417087842,1.125273708063776,0.19168086933635992,-0.10542936623096466,0.47366704559459066,2,2,-1.0,-1.0,0.1,0.1,0.7071102227461165,1.0,0.10000000215082828,0.10000000215082828,0.09999999126602836,0.7000034761927234,1.0,0.1414213597207488,False,restored
